field_name,sits_on,source,values,purpose
issue_id,issue,system,auto-increment,Primary key
submitter_id,issue,system,auto-increment,Links to submitter record
root_cause_derived,issue,"model, from fields 5-7",People | Process | Technology | Data,Mismatch against stated cause
capability_type,issue,"model, from fields 5-7",draft or generate | extract or structure | classify or route | retrieve or answer | summarise | predict or score | decide or approve | transfer or sync | schedule or coordinate,Primary clustering key
data_object,issue,model + field 16,customer | employee | order | product | supplier | financial | internal knowledge | quality or compliance,Secondary clustering key
personal_data_flag,issue,model + field 18,yes | no | unclear,Drives anonymisation handling
cluster_id,issue,system,auto-increment,Assigned on capability type x data object
volume_proxy,issue,calculated,low | medium | high,Ranking input
cluster_name,cluster,model,free text,Model-generated label
departments_count,cluster,calculated,integer,Cross-functional signal
owned_system_match,cluster,model,system id | none,Matches against owned systems
evidence_sufficient,cluster,rules,yes | no + missing fields,Gates verdict
verdict,cluster,model,build | buy | redesign | consolidate | investigate | avoid,Set only on clusters
verdict_reasoning,cluster,model,free text,Must reference issue evidence
evidence_refs,cluster,system,list of issue ids and interview statement ids,Traceability
